ChemicalID	DiseaseID	PubMedIDs
C022146	D007942	3468300
C022146	D015470	1987363
C022146	D008175	1987363
C022146	D008175	6847770
C022146	D008175	7513819
C022146	D016393	1987363
C022146	D016393	2208085
C022146	D009374	3130352
C022146	D018215	3468300
C022146	D012516	1987363
C022146	D012516	3468300
C022146	D012516	6847770
C022146	D010212	7513819
C022146	D012878	6847770
C022146	D013274	6847770
C506598	D003328	16048847
C058895	D004487	15748628
C055821	D009374	3130352
C040756	D000014	23684558
C040756	D004487	19399481
C040756	D004487	23684558
C554292	D018450	20869957
C554292	D020031	20869957
C554292	D042822	20869957
C554292	C538339	20869957
C554292	D012878	22009531
C576882	D056486	23586759
C098186	D000014	25181703
C034832	D056486	21094227
C069881	D011654	8848548
C419153	D012734	21420409
C419153	D042882	15236189
C031763	D001932	16860786
C031763	D001943	11921183
C031763	D001943	12165863
C031763	D002869	20017413
C031763	D002869	20726224
C031763	D002869	23159492
C031763	D056486	21602187
C031763	D042822	21602187
C031763	D005910	15814359
C031763	D006394	10930038
C031763	D006394	2208121
C031763	D007938	16155477
C031763	D007938	26070419
C031763	D007938	26343807
C031763	D008113	2208121
C031763	D008175	16860786
C031763	D008175	17372256
C031763	D008175	2208121
C031763	D008223	2208121
C031763	D008223	8764131
C031763	D008223	9205081
C031763	D008223	9488045
C031763	D008223	11980663
C031763	D008223	17941976
C031763	D008223	18798262
C031763	D015674	2208121
C031763	D008325	11921183
C031763	D048629	20223788
C031763	D048629	21351625
C031763	D048629	22156006
C031763	D009369	17938725
C031763	D009369	21452897
C031763	D009369	22003190
C031763	D009374	8764131
C031763	D009374	9205081
C031763	D009374	9488045
C031763	D009447	15814359
C031763	D010051	2208121
C031763	D010677	26002693
C031763	D013274	11397402
C031763	D013274	2208121
C031763	D015431	21147608
C028491	D001259	7193248
C028491	D002418	4026018
C028491	D002418	6497141
C028491	D017449	16285485
C028491	D056486	2077526
C028491	D056486	3388417
C028491	D056486	3726892
C028491	D005141	16285485
C028491	D005234	1787195
C028491	D007003	6497141
C028491	D007662	9276795
C028491	D007662	2628443
C028491	D007662	2677071
C028491	D007662	3726892
C028491	D007662	3810756
C028491	D007662	4026018
C028491	D007662	4049449
C028491	D007662	6138230
C028491	D007662	6497141
C028491	D007662	6501647
C028491	D007662	6501648
C028491	D007662	6746436
C028491	D007662	1500562
C028491	D007662	6785157
C028491	D007662	1787195
C028491	D007662	8263521
C028491	D007662	2219211
C015068	D001008	12527476
C015068	D001008	17000009
C015068	D003072	15364487
C015068	D005334	7863789
C015068	D005334	1470561
C015068	D005334	2889795
C015068	D005334	4048012
C015068	D006948	11489455
C015068	D009771	3276283
C015068	D012021	20394767
C015068	D012640	10541732
C015068	D012640	16125150
C102880	D056486	8821673
C102880	D056486	9456081
C102880	D008107	9010591
C023397	D008325	7358771
C023397	D009374	7358771
C023397	D014594	7358771
C023397	D014625	7358771
C023891	D000747	10620473
C023891	D008114	25354764
C023891	D012509	292813
C023891	D013274	11397402
C033489	D006529	24333398
C033489	D006949	24333398
C042146	D008107	1853346
C042146	D008107	8661352
C061090	D001932	9489487
C061090	D005770	2778847
C061090	D007680	9489487
C061090	D008175	2778847
C061090	D008175	9489487
C061090	D008325	2778847
C061090	D008654	2778847
C061090	D008654	9489487
C061090	D009423	2778847
C061090	D013736	2778847
C061090	D013964	9489487
C532657	D001919	22094455
C532657	D007022	22094455
C031274	D012640	8799489
C037413	D002294	3829965
C037413	D002294	8403221
C037413	D002869	1908946
C037413	D051677	1649014
C037413	D051677	8603480
C037413	D007942	3829965
C037413	D008114	3731386
C037413	D008325	1649014
C037413	D008325	3829965
C037413	D010212	6744230
C037413	D012513	6722977
C037413	D014846	3829965
C402345	D003328	16048847
C402345	D048629	12438016
C051360	D002545	16434762
C051360	D056486	23692951
C051360	D012640	10401785
C051360	D013226	15987273
C050232	D004421	11164078
C050232	D004421	9013402
C050232	D006948	10817525
C050232	D012640	10817525
C050232	D012640	11164383
C561372	D001919	21704644
C561372	D006461	21704644
C561372	D006947	21704644
C561372	D017202	21704644
C561372	D018879	21704644
C024348	D006930	23006841
C018406	D012640	10764922
C066883	D017449	8970840
C517943	D000015	21984484
C416442	D000014	23684558
C416442	D004487	23684558
C028474	D018248	3971489
C028474	D006528	21354444
C028474	D006528	21391223
C028474	D006529	24769335
C028474	D006529	26171734
C028474	D006529	27180240
C028474	D006529	16109766
C028474	D006529	20637255
C028474	D006529	21391223
C028474	D006965	21354444
C028474	D008114	21391223
C072821	D017449	14531868
C072821	D003877	1783741
C072821	D056486	1783741
C072821	D005131	1783741
C048858	D006327	2943245
C010709	D002277	12024805
C010709	D009669	12024805
C010709	D009669	4038687
C025223	D007674	17897969
C025223	D008107	17897969
C025223	D008171	17897969
C025223	D009669	9385384
C548783	D007333	20065017
C035342	D009336	19121382
C525468	D056486	20448081
C525468	D005767	20448081
C525468	D007249	20448081
C525468	D008231	20448081
C525468	D009336	20448081
C525468	D013921	20448081
C046760	D014839	22997060
C006584	D003924	27094034
C028289	D000014	23684558
C028289	D004487	23684558
C582337	D048629	25792264
C582337	D009410	24211273
C025087	D003092	11820457
C034086	D018248	17114358
C034086	D006528	17114358
C034086	D006965	17311802
C034086	D008171	19776212
C034086	D055370	17311802
C034086	D008175	17114358
C488841	D013733	16061321
C033309	D002294	3829965
C033309	D002869	1908946
C033309	D002869	4079952
C033309	D002869	7144792
C033309	D051677	8603480
C033309	D051677	1649014
